reniec,inei,departamento_inei,departamento,provincia_inei,provincia,distrito,region,macroregion_inei,macroregion_minsa,iso_3166_2,fips,superficie,altitud,latitud,longitud
010101,010101,01,AMAZONAS,0101,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,154,2338,-6.2294,-77.8728
010102,010102,01,AMAZONAS,0101,CHACHAPOYAS,ASUNCION,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,26,2823,-6.0325,-77.7108
010103,010103,01,AMAZONAS,0101,CHACHAPOYAS,BALSAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,357,859,-6.8358,-78.0197
010104,010104,01,AMAZONAS,0101,CHACHAPOYAS,CHETO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,57,2143,-6.2556,-77.7008
010105,010105,01,AMAZONAS,0101,CHACHAPOYAS,CHILIQUIN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,143,2677,-6.0783,-77.7375
010106,010106,01,AMAZONAS,0101,CHACHAPOYAS,CHUQUIBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,279,2803,-6.935,-77.8542
010107,010107,01,AMAZONAS,0101,CHACHAPOYAS,GRANADA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,181,3041,-6.1064,-77.6286
010108,010108,01,AMAZONAS,0101,CHACHAPOYAS,HUANCAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,49,2591,-6.1736,-77.8644
010109,010109,01,AMAZONAS,0101,CHACHAPOYAS,LA JALCA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,380,2869,-6.4847,-77.815
010110,010110,01,AMAZONAS,0101,CHACHAPOYAS,LEIMEBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,373,2226,-6.7075,-77.8039
010111,010111,01,AMAZONAS,0101,CHACHAPOYAS,LEVANTO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,78,2681,-6.3078,-77.8992
010112,010112,01,AMAZONAS,0101,CHACHAPOYAS,MAGDALENA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,135,1892,-6.3731,-77.9017
010113,010113,01,AMAZONAS,0101,CHACHAPOYAS,MARISCAL CASTILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,84,2210,-6.5944,-77.8086
010114,010114,01,AMAZONAS,0101,CHACHAPOYAS,MOLINOPAMPA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,334,2405,-6.2092,-77.6692
010115,010115,01,AMAZONAS,0101,CHACHAPOYAS,MONTEVIDEO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,119,2421,-6.6181,-77.8022
010116,010116,01,AMAZONAS,0101,CHACHAPOYAS,OLLEROS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,125,3053,-6.0239,-77.6764
010117,010117,01,AMAZONAS,0101,CHACHAPOYAS,QUINJALCA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,92,3151,-6.0914,-77.6786
010118,010118,01,AMAZONAS,0101,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,47,2254,-6.2292,-77.74
010119,010119,01,AMAZONAS,0101,CHACHAPOYAS,SAN ISIDRO DE MAINO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,102,2339,-6.3372,-77.8806
010120,010120,01,AMAZONAS,0101,CHACHAPOYAS,SOLOCO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,84,2387,-6.2606,-77.7442
010121,010121,01,AMAZONAS,0101,CHACHAPOYAS,SONCHE,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,113,2089,-6.2189,-77.7753
010205,010201,01,AMAZONAS,0102,BAGUA,BAGUA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,151,408,-5.6389,-78.5311
010202,010202,01,AMAZONAS,0102,BAGUA,ARAMANGO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,809,502,-5.4164,-78.4378
010203,010203,01,AMAZONAS,0102,BAGUA,COPALLIN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,99,693,-5.675,-78.4231
010204,010204,01,AMAZONAS,0102,BAGUA,EL PARCO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,18,626,-5.625,-78.4753
010206,010205,01,AMAZONAS,0102,BAGUA,IMAZA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,4431,317,-5.1636,-78.2889
010201,010206,01,AMAZONAS,0102,BAGUA,LA PECA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,144,892,-5.6119,-78.4369
010301,010301,01,AMAZONAS,0103,BONGARA,JUMBILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,154,2081,-5.9044,-77.7978
010304,010302,01,AMAZONAS,0103,BONGARA,CHISQUILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,175,2057,-5.8975,-77.7861
010305,010303,01,AMAZONAS,0103,BONGARA,CHURUJA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,33,1399,-6.0194,-77.9519
010302,010304,01,AMAZONAS,0103,BONGARA,COROSHA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,46,2297,-5.8433,-77.8225
010303,010305,01,AMAZONAS,0103,BONGARA,CUISPES,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,111,1912,-5.9283,-77.9461
010306,010306,01,AMAZONAS,0103,BONGARA,FLORIDA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,203,2251,-5.8261,-77.9694
010312,010307,01,AMAZONAS,0103,BONGARA,JAZAN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,89,1342,-5.9414,-77.9772
